image_relative_path,original_split,reason_category,decision_status,decision_authority,decision_date,notes
datasets/uae_lp_v2_yolo/images/test/1-shortmobileview-K13300_png_jpg.rf.OyEfZmZXOf7fY1UkWvtL.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/1-shortmobileview-Q6818600_png_jpg.rf.XcUKmna5NRPf8Jcbq97B.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/1-shortmobileview-Q6909600_png_jpg.rf.dBraxAvqqy08ac0HVnTa.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/1-shortview-K13300_png_jpg.rf.cTJQVCG7cSQDoNf7ilIu.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/1-view-Q2121610_png_jpg.rf.jeWAcuPvFoPxGbD4elEj.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/1-view-Q6909610_png_jpg.rf.Q7VIbtzAMzYpYB1TbaY0.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/1-viewmobile-K13300_png_jpg.rf.QXPtXdgTwTf10aesHz6w.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/1-viewmobile-K13310_png_jpg.rf.F5dky1xZp6o9WqtRQQq8.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/test/3006_jpg.rf.sCzCUEjkCy5XVzovs42Z.jpg,test,frozen_release_omission_provenance_unavailable,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"The original omission reason is not recoverable from the available project evidence. The image remains excluded solely to preserve the frozen, previously validated release membership. This does not claim that the image is corrupt, duplicated, unreadable, or mislabeled."
datasets/uae_lp_v2_yolo/images/test/C-8_jpg.rf.dcmfBOoSvKkOgBvm7n2q.jpg,test,frozen_release_omission_provenance_unavailable,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"The original omission reason is not recoverable from the available project evidence. The image remains excluded solely to preserve the frozen, previously validated release membership. This does not claim that the image is corrupt, duplicated, unreadable, or mislabeled."
datasets/uae_lp_v2_yolo/images/test/WhatsApp-Image-2022-01-25-at-10-15-37-PM_jpeg_jpg.rf.0ajYLrBY8L7ZTZN95Gtg.jpg,test,frozen_release_omission_provenance_unavailable,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"The original omission reason is not recoverable from the available project evidence. The image remains excluded solely to preserve the frozen, previously validated release membership. This does not claim that the image is corrupt, duplicated, unreadable, or mislabeled."
datasets/uae_lp_v2_yolo/images/test/Z-44_jpg.rf.XmEzTI85SsaZVMPOfaP7.jpg,test,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/val/1-shortview-K8446600_jpg.rf.xUF71EM7PG4zHMmyMelQ.jpg,val,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/val/1-viewmobile-Q6909610_png_jpg.rf.Q833TzVdsyjeX8Jj9e35.jpg,val,conservative_cross_split_scene_similarity_exclusion,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"Previously identified by automated cross-split scene-similarity screening and conservatively excluded by project-owner decision. This does not claim that the image is corrupt, mislabeled, or an exact duplicate."
datasets/uae_lp_v2_yolo/images/val/WhatsApp-Image-2022-01-23-at-10-05-04-PM_jpeg_jpg.rf.MCf4q806wxYlPi3azIiI.jpg,val,frozen_release_omission_provenance_unavailable,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"The original omission reason is not recoverable from the available project evidence. The image remains excluded solely to preserve the frozen, previously validated release membership. This does not claim that the image is corrupt, duplicated, unreadable, or mislabeled."
datasets/uae_lp_v2_yolo/images/val/WhatsApp-Image-2022-01-25-at-10-05-34-PM_jpeg_jpg.rf.GhXFKFMeqGRCZCCBJNrT.jpg,val,frozen_release_omission_provenance_unavailable,EXCLUDED_BY_PROJECT_DECISION,project_owner,2026-07-10,"The original omission reason is not recoverable from the available project evidence. The image remains excluded solely to preserve the frozen, previously validated release membership. This does not claim that the image is corrupt, duplicated, unreadable, or mislabeled."
